,날짜,feat_a,feat_b,feat_c,feat_d,feat_e,feat_f,매출
447,2020. 12. 8,0,528381,2540,73,8164,30354742,38656624
448,2020. 12. 7,0,523831,9006,72,6829,31521147,37490219
449,2020. 12. 6,0,397328,5094,90,5769,31319987,35876938
450,2020. 12. 5,0,393971,1717,89,5755,32287542,34909304
451,2020. 12. 4,0,537095,9901,64,7418,32596106,34600740
452,2020. 12. 3,0,543183,2941,64,7624,32597977,34598870
453,2020. 12. 2,0,507579,1669,68,7689,32597977,34598870
454,2020. 12. 1,0,509694,3581,68,7809,32625911,34570933
455,2020. 11. 30,0,537004,2195,124,7639,8812519,66408796
456,2020. 11. 29,0,415848,9412,166,6691,7409292,68830895
457,2020. 11. 28,0,401107,8372,172,6086,7409292,68830757
458,2020. 11. 27,0,529898,1220,130,7727,7524762,68715287
459,2020. 11. 26,0,533002,7322,128,7985,7755702,68484347
460,2020. 11. 25,0,521780,8551,131,8925,7755702,68484347
461,2020. 11. 24,0,540739,5778,126,8936,8151603,68088446
462,2020. 11. 23,0,536484,526,125,7854,9091852,67148197
463,2020. 11. 22,0,403885,4885,169,6547,8852708,68171035
464,2020. 11. 21,0,373202,8213,182,5476,8929646,68093947
465,2020. 11. 20,0,537694,243,127,7743,8929646,68093947
466,2020. 11. 19,0,566124,8323,119,7874,9459720,67563875
467,2020. 11. 18,0,578803,2436,115,9020,10449999,66573594
468,2020. 11. 17,0,536938,5128,125,8318,10449999,66883442
469,2020. 11. 16,0,514155,4174,130,7114,10507763,66650544
470,2020. 11. 15,0,373799,6155,169,5826,12677607,63078676
471,2020. 11. 14,0,381526,7430,161,5462,14467393,61288784
472,2020. 11. 13,0,533391,4621,113,7209,15434455,60321722
473,2020. 11. 12,0,550016,7091,110,8083,15462392,60293788
474,2020. 11. 11,0,519508,9492,110,8818,18725351,57030826
475,2020. 11. 10,0,530682,247,107,8956,19096507,56659673
476,2020. 11. 9,0,557982,5486,100,8182,20105558,55650622
477,2020. 11. 8,0,399416,2235,132,6509,20880792,52854699
478,2020. 11. 7,0,383451,648,128,5831,24575833,49159630
479,2020. 11. 6,0,566461,232,86,7985,25268654,48466809
480,2020. 11. 5,0,603657,3698,80,8777,25499640,48235823
481,2020. 11. 4,0,576843,7591,82,10052,26596545,47138917
482,2020. 11. 3,0,560137,3562,83,9674,27462571,46272892
483,2020. 11. 2,0,531600,3210,87,7554,27462571,46272892
484,2020. 11. 1,0,396715,5027,121,6295,27578041,48054503
485,2020. 10. 31,0,362691,7647,169,5304,7121269,61216089
486,2020. 10. 30,0,503574,6231,121,6289,7553989,60806891
487,2020. 10. 29,0,549154,2131,111,6961,7617369,60743511
488,2020. 10. 28,0,512809,3893,118,7075,7617369,60743511
489,2020. 10. 27,0,506377,3022,119,6914,8062483,60298397
490,2020. 10. 26,0,532113,6954,112,6783,8553565,59807317
491,2020. 10. 25,0,355062,3632,169,5512,8287846,59990647
492,2020. 10. 24,0,364823,8233,164,5411,8386024,59892377
493,2020. 10. 23,0,472024,8861,126,6573,8623084,59655317
494,2020. 10. 22,0,510855,3287,117,7093,8623084,59655317
495,2020. 10. 21,0,529624,4086,113,7527,8671466,59895610
496,2020. 10. 20,0,518916,9602,114,7269,9165880,59318717
497,2020. 10. 19,0,510210,1882,113,7275,10706874,57777723
498,2020. 10. 18,0,361993,3885,155,5633,10820762,55931819
499,2020. 10. 17,0,349829,6156,158,5198,11452499,55300059
500,2020. 10. 16,0,536449,5655,102,7415,11959470,54793086
501,2020. 10. 15,0,534171,3135,100,7749,13598098,53154459
502,2020. 10. 14,0,533213,7258,99,9055,14113044,52639514
503,2020. 10. 13,0,507733,5167,103,7985,14371097,52381461
504,2020. 10. 12,0,482428,8171,105,7398,15880667,50871889
505,2020. 10. 11,0,346188,4365,140,5860,17586932,48588298
506,2020. 10. 10,0,338515,7088,143,5562,17860769,48314435
507,2020. 10. 9,0,355841,8531,136,5783,17860769,48314435
508,2020. 10. 8,0,498130,4672,94,6931,19141938,47033267
509,2020. 10. 7,0,507838,9102,88,7543,21682015,44493189
510,2020. 10. 6,0,487023,9675,91,7719,21883631,44291578
511,2020. 10. 5,0,466960,794,94,7178,22471142,43704067
512,2020. 10. 4,0,362369,5120,114,6200,24348281,41414536
513,2020. 10. 3,0,330190,1730,122,4821,25423192,40339625
514,2020. 10. 2,0,320376,9273,126,4509,25534013,40228801
515,2020. 10. 1,0,279599,6126,144,3563,25594155,40168660
516,2020. 9. 30,0,262474,1154,235,3201,3445136,61653092
517,2020. 9. 29,0,417872,5507,147,4224,3483391,61602830
518,2020. 9. 28,0,460546,8789,134,4554,3579560,61506658
519,2020. 9. 27,0,348591,2679,178,4608,3579560,61919070
520,2020. 9. 26,0,338707,4645,182,4635,3868235,61630377
521,2020. 9. 25,0,479679,5503,128,5670,3925970,61572642
522,2020. 9. 24,0,492086,7609,125,5469,4118465,61380144
523,2020. 9. 23,0,489781,9454,125,7430,4421062,61077548
524,2020. 9. 22,0,487188,1465,125,7041,4753504,60745105
525,2020. 9. 21,0,479855,7603,127,6213,4753504,60745105
526,2020. 9. 20,0,348227,6719,179,5470,5042289,62353404
527,2020. 9. 19,0,357838,3942,172,4948,5735028,61660584
528,2020. 9. 18,0,501690,6859,120,6103,7293903,60101706
529,2020. 9. 17,0,505386,981,118,6655,7640244,59755365
530,2020. 9. 16,0,509142,9472,117,7493,7640244,59755365
531,2020. 9. 15,0,508125,4170,117,7192,8044389,59351220
532,2020. 9. 14,0,516153,337,114,6333,8794944,58600664
533,2020. 9. 13,0,388631,2014,146,5510,9025884,56761425
534,2020. 9. 12,0,388569,3833,145,5305,9314559,56472727
535,2020. 9. 11,0,522867,153,102,6075,12316781,53470505
536,2020. 9. 10,0,502051,7764,105,5868,13067336,52719950
537,2020. 9. 9,0,529111,256,99,6735,13279062,52508224
538,2020. 9. 8,0,531867,7180,97,6378,14375993,51411291
539,2020. 9. 7,0,607975,5742,76,6874,19456676,46330609
540,2020. 9. 6,0,433275,2515,105,5357,19687616,45398604
541,2020. 9. 5,0,412874,6647,109,4952,20072547,45013673
542,2020. 9. 4,0,506242,690,86,5746,21323435,43762786
543,2020. 9. 3,0,529271,6431,80,5995,22997750,42088470
544,2020. 9. 2,0,548120,670,77,5789,22997750,42088470
545,2020. 9. 1,0,512048,3307,82,5280,23307041,42088470
546,2020. 8. 31,0,521732,7046,102,4867,2153482,53459633
547,2020. 8. 30,0,432839,8237,127,4413,2385265,54855573
548,2020. 8. 29,0,413817,184,133,4354,2385253,54855518
549,2020. 8. 28,0,520078,801,105,5284,2629155,54611613
550,2020. 8. 27,0,554354,8710,98,5282,2720492,54520276
551,2020. 8. 26,0,556664,8971,98,6191,2720492,54520276
552,2020. 8. 25,0,500767,6770,109,5573,2720492,54520276
553,2020. 8. 24,0,529258,7064,102,4979,3234391,54006379
554,2020. 8. 23,0,421377,9384,125,4540,3203353,52717779
555,2020. 8. 22,0,418880,7404,126,4181,3315145,52605976
556,2020. 8. 21,0,516710,2382,102,5059,3460291,52460826
557,2020. 8. 20,0,519379,4427,99,5457,4309539,51611581
558,2020. 8. 19,0,509487,9872,101,5153,4507108,51414011
559,2020. 8. 18,0,481238,976,107,5125,4507108,51414011
560,2020. 8. 17,0,451260,3995,114,4788,4507108,51414011
561,2020. 8. 16,0,370404,6826,142,3800,4790154,52533152
562,2020. 8. 15,0,355374,5905,148,3734,4842346,52480904
563,2020. 8. 14,0,467765,3139,112,4499,4842346,52480904
564,2020. 8. 13,0,477245,3471,110,4821,4842346,52480904
565,2020. 8. 12,0,513229,9765,97,5567,7507193,49816054
566,2020. 8. 11,0,522821,513,94,5391,8081634,49241613
567,2020. 8. 10,0,523830,8701,93,5178,8678389,48644859
568,2020. 8. 9,0,415429,7818,114,4365,8455451,47465679
569,2020. 8. 8,0,405459,6005,109,4380,11677267,44243852
570,2020. 8. 7,0,515427,3493,85,5307,11938229,43982890
571,2020. 8. 6,0,523589,8144,84,5192,11938229,43982890
572,2020. 8. 5,0,504586,8462,87,5398,12049958,43871161
573,2020. 8. 4,0,493687,5756,81,5634,15743066,40178055
574,2020. 8. 3,0,514906,4713,78,5241,15886595,40034525
575,2020. 8. 2,0,390956,2026,103,4416,15886595,40240741
576,2020. 8. 1,0,383292,7424,104,4436,16117535,40009778
577,2020. 7. 31,0,506825,6469,125,5495,0,63517296
578,2020. 7. 30,0,529712,6703,120,6004,0,63539850
579,2020. 7. 29,0,561246,5449,113,6716,164961,63374889
580,2020. 7. 28,0,562037,2191,112,6112,450096,63089752
581,2020. 7. 27,0,575965,4029,109,5853,541433,62998420
582,2020. 7. 26,0,374821,9185,170,4926,335238,63699517
583,2020. 7. 25,0,400581,9489,159,4692,335238,63699480
584,2020. 7. 24,0,558704,9696,114,6166,335238,63699480
585,2020. 7. 23,0,605392,9073,105,6711,335238,63699480
586,2020. 7. 22,0,581681,5438,109,6842,500199,63534524
587,2020. 7. 21,0,552387,3266,115,6633,541433,63493288
588,2020. 7. 20,0,575641,1418,110,6435,541433,63493288
589,2020. 7. 19,0,423253,414,151,5117,335238,63905724
590,2020. 7. 18,0,398641,9958,160,4795,335238,63905677
591,2020. 7. 17,0,542607,6651,118,6028,335238,63905677
592,2020. 7. 16,0,564318,2947,113,6444,335238,63905677
593,2020. 7. 15,0,565612,9465,113,6455,500199,63740717
594,2020. 7. 14,0,555803,6704,115,6950,541433,63699480
595,2020. 7. 13,0,576376,6114,111,6635,541433,63699480
596,2020. 7. 12,0,428149,6725,149,5840,830120,63617048
597,2020. 7. 11,0,392185,6582,162,5342,941826,63505287
598,2020. 7. 10,0,558788,8065,113,6997,1165347,63281765
599,2020. 7. 9,0,575627,1278,109,7641,1575035,62872077
600,2020. 7. 8,0,551379,4892,113,8086,2000784,62446325
601,2020. 7. 7,0,537549,9689,116,7757,2239969,62207141
602,2020. 7. 6,0,532975,7838,116,6609,2536889,61910221
603,2020. 7. 5,0,382946,3876,160,5391,1676140,61368851
604,2020. 7. 4,0,383037,907,159,5125,2123183,60921797
605,2020. 7. 3,0,536771,3866,113,6623,2164428,60880551
606,2020. 7. 2,0,516373,9799,118,6844,2329377,60715605
607,2020. 7. 1,0,516267,7063,118,6642,2329377,60715605
608,2020. 6. 30,0,540658,791,122,5687,6654222,66157431
609,2020. 6. 29,0,594741,8204,111,6291,6691784,66106125
610,2020. 6. 28,0,429086,7042,158,6080,6787965,67700808
611,2020. 6. 27,0,413438,6353,163,5442,7018893,67469822
612,2020. 6. 26,0,555462,3937,121,7205,7538653,66950064
613,2020. 6. 25,0,604165,5834,109,7994,8635468,65853246
614,2020. 6. 24,0,659609,6602,99,8979,9386024,65102691
615,2020. 6. 23,0,590863,7784,109,8383,9814914,64673803
616,2020. 6. 22,0,593271,9723,108,7887,10730505,64088125
617,2020. 6. 21,0,436068,9941,146,6237,10026605,63472406
618,2020. 6. 20,0,427302,3110,149,5855,10026605,63472369
619,2020. 6. 19,0,614106,8443,102,7527,10892631,62606344
620,2020. 6. 18,0,629073,7299,95,8265,14241361,59525667
621,2020. 6. 17,0,610898,5859,97,9186,15280487,59406179
622,2020. 6. 16,0,599608,446,98,9168,15676388,58729848
623,2020. 6. 15,0,604970,5316,95,8840,16963047,57443188
624,2020. 6. 14,0,443791,637,126,7486,17705358,55793652
625,2020. 6. 13,0,457279,7028,122,7453,17705358,55793615
626,2020. 6. 12,0,620871,4497,90,8863,17705358,55793615
627,2020. 6. 11,0,621310,9087,87,9586,19610614,53888359
628,2020. 6. 10,0,644318,9045,82,11178,20534391,52964585
629,2020. 6. 9,0,650027,1173,79,11138,22002569,51496406
630,2020. 6. 8,0,602680,8634,82,9266,23800514,49698459
631,2020. 6. 7,0,427874,6174,111,7261,24922225,47669493
632,2020. 6. 6,0,412799,9085,113,6846,25788250,46803468
633,2020. 6. 5,0,573597,8077,81,8435,26096232,46495486
634,2020. 6. 4,0,629372,6157,72,9601,27096896,45494822
635,2020. 6. 3,0,599138,3786,75,9392,27731981,44859737
636,2020. 6. 2,0,603417,6581,74,9082,27962921,44628797
637,2020. 6. 1,0,574513,1741,77,8745,28251596,44340122
638,2020. 5. 31,0,428110,1123,144,7615,8362237,61742554
639,2020. 5. 30,0,419854,9947,147,7153,8394754,61734120
640,2020. 5. 29,0,600469,8887,103,8716,8495386,61633485
641,2020. 5. 28,0,611213,5052,100,9585,8798830,61330044
642,2020. 5. 27,0,605458,2810,101,9489,8960996,61167878
643,2020. 5. 26,0,621543,3836,98,9433,8960996,61167878
644,2020. 5. 25,0,594630,8034,103,8476,8998177,61130696
645,2020. 5. 24,0,465220,3953,129,7390,9378726,60131594
646,2020. 5. 23,0,415309,1791,145,6745,9451287,60059000
647,2020. 5. 22,0,590704,6276,101,8678,9713953,59796334
648,2020. 5. 21,0,610882,7714,98,8878,9713953,59796334
649,2020. 5. 20,0,587036,675,102,10567,9840520,59669769
650,2020. 5. 19,0,649446,4590,90,10194,11153356,58356930
651,2020. 5. 18,0,633853,4692,91,9548,11898542,57611746
652,2020. 5. 17,0,445740,9254,130,7612,11986138,57730390
653,2020. 5. 16,0,439563,8463,129,7059,12823612,56892871
654,2020. 5. 15,0,608058,5452,91,9086,14431465,55285020
655,2020. 5. 14,0,609965,9341,90,9601,14928736,54787746
656,2020. 5. 13,0,589667,4420,93,9281,15003272,54713213
657,2020. 5. 12,0,610339,8099,88,9348,16144971,53571509
658,2020. 5. 11,0,606963,8369,84,8032,18805635,50910848
659,2020. 5. 10,0,448792,4960,111,7765,20820521,49968239
660,2020. 5. 9,0,461139,5945,106,7626,21866499,48922205
661,2020. 5. 8,0,559399,2100,85,8485,23114310,47674394
662,2020. 5. 7,0,591062,7356,77,9141,25470327,45318375
663,2020. 5. 6,0,584922,9104,77,9918,25822406,44966298
664,2020. 5. 5,0,506251,4676,87,9444,26528194,44260508
665,2020. 5. 4,0,572654,6210,75,9210,27902720,42885984
666,2020. 5. 3,0,492966,4188,90,7551,26912241,44288932
667,2020. 5. 2,0,461795,1654,96,6752,26920499,44280595
668,2020. 5. 1,0,487803,9989,90,7455,27129301,44071793
669,2020. 4. 30,0,452790,6696,137,6485,8113388,62180647
670,2020. 4. 29,0,591901,238,104,7339,8468776,61813595
671,2020. 4. 28,0,608431,1329,101,7231,8833267,61449107
672,2020. 4. 27,0,594262,1019,103,5865,9360191,60922181
673,2020. 4. 26,0,495703,1110,120,5580,11126214,59362448
674,2020. 4. 25,0,472466,7330,125,5227,11313277,59175290
675,2020. 4. 24,0,619072,1158,96,6110,11313277,59175290
676,2020. 4. 23,0,647956,9713,92,7948,11313277,59818619
677,2020. 4. 22,0,628940,2107,95,8198,11313277,59670162
678,2020. 4. 21,0,617159,8394,97,8318,14468069,59670162
679,2020. 4. 20,0,606786,7877,98,7979,20009496,59482985
680,2020. 4. 19,0,511362,8505,113,7424,20636508,57698834
681,2020. 4. 18,0,454897,7757,125,6511,21622938,56712055
682,2020. 4. 17,0,655329,2762,86,7873,22151177,56183816
683,2020. 4. 16,0,602579,3554,93,8234,22291136,56043857
684,2020. 4. 15,0,537401,7919,102,7747,23378492,54956503
685,2020. 4. 14,0,641197,8078,84,8338,25024368,54052932
686,2020. 4. 13,0,610644,4564,88,7691,24864467,53965396
687,2020. 4. 12,0,475414,8790,113,6808,14561450,53876189
688,2020. 4. 11,0,464146,8444,110,6186,17155956,51281650
689,2020. 4. 10,0,608975,5981,83,7542,17719355,50718249
690,2020. 4. 9,0,608870,8852,83,8361,17763134,50674472
691,2020. 4. 8,0,597746,3240,83,9664,18576177,49861429
692,2020. 4. 7,0,616804,3504,77,9561,21218017,47219589
693,2020. 4. 6,0,584996,4805,80,7771,21458142,46979463
694,2020. 4. 5,0,448873,4830,103,6812,24427431,46072205
695,2020. 4. 4,0,445129,8512,102,6171,25118321,45381246
696,2020. 4. 3,0,611113,9135,72,7644,26750795,43748772
697,2020. 4. 2,0,610219,6776,71,7685,26981670,43517897
698,2020. 4. 1,0,593108,6590,72,7558,27694897,42804670
699,2020. 3. 31,0,600359,7516,96,6444,7969722,57779238
700,2020. 3. 30,0,581850,6367,98,6247,8590392,57180341
701,2020. 3. 29,0,443549,9456,132,5359,7295467,58475333
702,2020. 3. 28,0,435014,5101,134,5241,7295433,58475301
703,2020. 3. 27,0,580034,8290,101,6667,7354957,58415774
704,2020. 3. 26,0,591917,1476,98,7258,7630671,58140059
705,2020. 3. 25,0,564010,8980,103,7102,7630671,58140059
706,2020. 3. 24,0,615485,216,94,7266,7798160,57972572
707,2020. 3. 23,0,616821,8504,93,6750,8301148,57469584
708,2020. 3. 22,0,464302,5366,125,5623,8040907,57936102
709,2020. 3. 21,0,466363,6955,124,5207,8364951,57611977
710,2020. 3. 20,0,583150,3421,98,6182,8553214,57423715
711,2020. 3. 19,0,609481,4386,92,6335,9631259,56345668
712,2020. 3. 18,0,608040,7856,91,6849,10467568,55509360
713,2020. 3. 17,0,647369,8159,85,6222,11084167,54892759
714,2020. 3. 16,0,642637,814,85,6134,11553393,54423535
715,2020. 3. 15,0,490718,4789,104,5439,11805924,51201796
716,2020. 3. 14,0,477927,8231,106,5232,12366560,50641147
717,2020. 3. 13,0,606289,134,83,5654,12441096,50566609
718,2020. 3. 12,0,623811,3265,80,6007,13055541,49952165
719,2020. 3. 11,0,660417,4155,73,7040,14595854,48411855
720,2020. 3. 10,0,703355,6898,68,6903,14918136,48089573
721,2020. 3. 9,0,683799,9031,70,5790,15040030,47967678
722,2020. 3. 8,0,501267,5124,93,5264,16534509,46473209
723,2020. 3. 7,0,538868,8798,81,5036,19425176,43582532
724,2020. 3. 6,0,648992,2913,69,5466,19536979,44644053
725,2020. 3. 5,0,665623,4301,66,5575,19536979,43805967
726,2020. 3. 4,0,734970,1177,59,5878,20306125,43036821
727,2020. 3. 3,0,747952,6215,57,5835,20877933,42465013
728,2020. 3. 2,0,634696,9601,67,6110,20877933,42465013
729,2020. 3. 1,0,592821,8778,73,6498,20877933,43372317
730,2020. 2. 29,0,577355,9750,96,5706,8255786,55627121
731,2020. 2. 28,0,692149,2143,80,6833,8755806,55129648
732,2020. 2. 27,0,697731,635,78,7060,9291344,54594108
733,2020. 2. 26,0,701445,5105,77,6969,9854773,54030752
734,2020. 2. 25,0,708129,4027,76,6743,10109474,53775600
735,2020. 2. 24,0,667843,4597,80,5789,10292763,53592516
736,2020. 2. 23,0,523174,4567,101,5069,10292782,53097865
737,2020. 2. 22,0,504109,5563,103,4995,11252445,52138267
738,2020. 2. 21,0,594321,4473,87,6222,12007068,51634739
739,2020. 2. 20,0,555594,966,93,6724,12084465,51445368
740,2020. 2. 19,0,529107,7557,97,6421,12100431,51429831
741,2020. 2. 18,0,509988,4239,100,6857,12554343,50975632
742,2020. 2. 17,0,523495,9049,96,6335,13298976,50231349
743,2020. 2. 16,0,397547,1227,126,5038,13581689,50030754
744,2020. 2. 15,0,397345,2359,125,5150,14079480,49533041
745,2020. 2. 14,0,489717,2208,99,6546,15345616,48267175
746,2020. 2. 13,0,532797,9483,89,7251,16086052,47526680
747,2020. 2. 12,0,560333,1966,85,7749,16165701,47446571
748,2020. 2. 11,0,529696,5976,88,7046,18208444,46407382
749,2020. 2. 10,0,501896,6960,89,5931,19464697,44506085
750,2020. 2. 9,0,410087,5282,108,4679,19570195,44111935
751,2020. 2. 8,0,423897,6060,103,4529,20155506,43526603
752,2020. 2. 7,0,517933,9618,82,5761,21210669,42471433
753,2020. 2. 6,0,519218,6964,81,5924,21660609,42021483
754,2020. 2. 5,0,538097,7551,78,6136,21660623,42021497
755,2020. 2. 4,0,511376,7372,81,5230,22319595,41362528
756,2020. 2. 3,0,504886,4609,76,4971,25357637,38324469
757,2020. 2. 2,0,415793,9857,92,4055,25602533,38285812
758,2020. 2. 1,0,422524,5925,91,3976,25602528,38285785
759,2020. 1. 31,0,475571,7573,124,4355,260616,58762997
760,2020. 1. 30,0,506668,6578,116,4700,260743,58782585
761,2020. 1. 29,0,481212,9114,122,4381,260743,58782594
762,2020. 1. 28,0,466734,7786,126,4194,260743,58782622
763,2020. 1. 27,0,359113,1289,164,3081,260743,58782590
764,2020. 1. 26,0,323235,683,180,2201,260743,58164017
765,2020. 1. 25,0,289766,4733,201,1738,260743,58164012
766,2020. 1. 24,0,253261,7841,230,1622,260743,58164017
767,2020. 1. 23,0,393370,4294,148,2995,260743,58164026
768,2020. 1. 22,0,443211,1414,131,3518,260743,58163961
769,2020. 1. 21,0,436133,553,133,3544,260743,58164017
770,2020. 1. 20,0,429027,6424,136,3321,260743,58164012
771,2020. 1. 19,0,355293,2506,166,2715,260743,58865100
772,2020. 1. 18,0,363195,1358,162,2759,260743,58865091
773,2020. 1. 17,0,440695,185,134,3923,260743,59177964
774,2020. 1. 16,0,451583,6589,131,4043,260743,59263499
775,2020. 1. 15,0,437864,2185,137,3933,260743,59894465
776,2020. 1. 14,0,453594,8784,132,3850,260743,59696526
777,2020. 1. 13,0,426858,8364,140,3384,260743,59696512
778,2020. 1. 12,0,337033,1588,176,2469,260743,59201681
779,2020. 1. 11,0,336073,1477,176,2372,260743,59201644
780,2020. 1. 10,0,420665,2472,141,3393,260743,59201644
781,2020. 1. 9,0,455006,1321,130,3528,260743,59201644
782,2020. 1. 8,0,460473,7423,129,3777,260743,59201644
783,2020. 1. 7,0,477268,3517,124,3589,260743,59201644
784,2020. 1. 6,0,464397,3874,127,3162,260743,59201644
785,2020. 1. 5,0,352172,1785,166,2109,260743,58294387
786,2020. 1. 4,0,375048,4955,155,2146,260743,58294387
787,2020. 1. 3,0,441443,1991,132,2559,260743,58294387
788,2020. 1. 2,0,385217,2871,151,1861,260743,58294387
789,2020. 1. 1,0,385692,2449,151,1493,260743,58294387
