,날짜,feat_a,feat_b,feat_c,feat_d,feat_e,feat_f,매출
342,2020. 12. 23,33599623,116704,8588,277,6692,9539392,22834767
343,2020. 12. 22,34193164,118047,7202,272,6818,9978861,22155342
344,2020. 12. 21,34575822,119647,7357,264,6874,8615946,22965073
345,2020. 12. 20,24541924,113675,2984,244,7127,7697069,19985098
346,2020. 12. 19,24827208,113625,683,248,7535,7378187,20755762
347,2020. 12. 18,33320011,117700,2731,263,6934,8158298,22802502
348,2020. 12. 17,34300003,115983,7396,270,6489,7494670,23813882
349,2020. 12. 16,34362869,120197,8772,247,6715,7157833,22586314
350,2020. 12. 15,34810068,124211,894,239,7136,6016685,23686550
351,2020. 12. 14,35586124,129865,3360,233,7124,5499940,24753816
352,2020. 12. 13,25689368,123158,6766,220,7082,4870592,22189454
353,2020. 12. 12,25041857,115882,408,222,6597,4807021,20965124
354,2020. 12. 11,32876557,122607,5730,247,6724,5582447,24663029
355,2020. 12. 10,34723527,124239,4464,244,6574,5214504,25071460
356,2020. 12. 9,33817318,121181,2468,242,6577,4513905,24862868
357,2020. 12. 8,33713488,118521,3769,246,6166,4322600,24786468
358,2020. 12. 7,34137424,119549,9419,238,6045,5321435,23181210
359,2020. 12. 6,23861288,113388,6234,231,5953,5220910,21007477
360,2020. 12. 5,23474450,111464,6153,232,6123,5279222,20616600
361,2020. 12. 4,32497415,119474,4319,245,6192,6099755,23138160
362,2020. 12. 3,32649075,118852,5277,245,5917,5817122,23254529
363,2020. 12. 2,32700341,115026,4874,252,5945,6318143,22621914
364,2020. 12. 1,33415963,113219,3433,261,6022,6612527,22976748
365,2020. 11. 30,33419980,114257,8107,274,6071,9331540,21991053
366,2020. 11. 29,22718805,108010,3531,254,6096,8676360,18713358
367,2020. 11. 28,22554182,105149,8734,257,5867,8164266,18816138
368,2020. 11. 27,31557716,114649,6659,278,6260,9538590,22295887
369,2020. 11. 26,32368317,114447,5399,287,6100,9920487,22938600
370,2020. 11. 25,32186441,110546,3318,291,5946,8657969,23456750
371,2020. 11. 24,32041783,111317,6984,275,5842,8511486,22087575
372,2020. 11. 23,32087081,113690,9402,262,6140,9917918,19883168
373,2020. 11. 22,23050508,112096,3447,238,6590,8766050,17927343
374,2020. 11. 21,22300453,106094,9401,246,6417,8170812,17972516
375,2020. 11. 20,30379673,110205,5868,265,6230,9026036,20214405
376,2020. 11. 19,32255739,119291,5663,269,6667,9424841,22702279
377,2020. 11. 18,31959406,116221,2939,270,6282,9015918,22319131
378,2020. 11. 17,31597211,113599,6904,265,5248,8256562,21817915
379,2020. 11. 16,31693873,113580,8408,253,4076,7048180,21687040
380,2020. 11. 15,22228934,109754,7997,237,4112,6326151,19674299
381,2020. 11. 14,21721479,109773,3701,235,4164,6271979,19541577
382,2020. 11. 13,30045867,117828,2046,266,5366,6661432,24654954
383,2020. 11. 12,30810039,115316,1191,271,5935,6133174,25096666
384,2020. 11. 11,30691685,111971,2182,276,6533,5981510,24955395
385,2020. 11. 10,31334207,115940,791,259,6118,6364384,23667313
386,2020. 11. 9,31794966,118995,8348,243,6244,4949216,23966414
387,2020. 11. 8,22323851,110688,6136,227,5480,6059072,19030655
388,2020. 11. 7,22262842,111674,4540,221,5806,5122230,19541338
389,2020. 11. 6,31129746,123070,9635,236,6463,6572010,22429879
390,2020. 11. 5,32455239,122097,2209,234,6041,4837553,23689976
391,2020. 11. 4,32811653,120664,4255,232,5992,5054508,22954451
392,2020. 11. 3,32562227,118826,7538,230,5697,5497933,21852083
393,2020. 11. 2,33193182,119967,9547,228,6011,4939682,22359080
394,2020. 11. 1,22760266,114276,7360,212,5859,5396328,18787687
395,2020. 10. 31,21871726,104964,3298,238,5189,5606568,19347822
396,2020. 10. 30,29783391,112717,2686,253,5651,8302697,20204203
397,2020. 10. 29,31077760,116000,5362,259,5885,9300154,20748384
398,2020. 10. 28,31008845,113905,8969,272,5863,10975966,19977927
399,2020. 10. 27,31576242,117702,1742,259,5742,9892411,20583131
400,2020. 10. 26,31794323,115294,5119,253,5585,6719513,22464297
401,2020. 10. 25,22837394,110514,6573,224,5102,5112736,19697388
402,2020. 10. 24,22246946,107501,7519,231,5074,5236997,19577058
403,2020. 10. 23,29304335,109230,8183,250,5323,6180159,21124849
404,2020. 10. 22,31908026,117697,8991,235,5692,6552468,21103161
405,2020. 10. 21,31218098,117370,6160,234,5755,7744741,19675308
406,2020. 10. 20,31015058,114607,3767,237,5490,7109698,20007326
407,2020. 10. 19,31608812,115159,6507,224,5326,5370825,20436232
408,2020. 10. 18,22241236,106430,4936,205,4926,4439705,17368138
409,2020. 10. 17,21858967,106882,4330,208,5451,4947265,17292473
410,2020. 10. 16,30020309,115107,4294,225,5571,5245504,20657692
411,2020. 10. 15,31185292,113220,8068,228,5252,5002520,20828928
412,2020. 10. 14,30985652,112922,8535,217,5401,4698579,19824629
413,2020. 10. 13,31271018,113103,4441,211,5247,3391257,20478785
414,2020. 10. 12,32647993,119208,4292,205,5391,3347198,21046039
415,2020. 10. 11,22817547,109754,3151,198,5041,4283320,17460679
416,2020. 10. 10,22606926,108745,5524,207,4994,5032565,17423580
417,2020. 10. 9,23096142,111645,9243,205,5307,4822796,18033073
418,2020. 10. 8,30963220,113686,1047,218,5424,3825950,20942158
419,2020. 10. 7,31960567,112391,8961,225,5341,5457259,19841348
420,2020. 10. 6,32080599,113489,9218,213,5589,4372663,19850815
421,2020. 10. 5,33105499,115469,3473,205,5778,4832539,18785411
422,2020. 10. 4,23450361,112071,3087,191,5401,5253951,16097116
423,2020. 10. 3,21785840,108298,2659,179,5051,5069039,14336970
